k,chi^2 probability,observed MT,observed XS256++
1,5.9910000000000005,0.672,1.9040000000000001
2,7.815,3.201,1.047
3,9.488,1.0859999999999999,8.929
4,11.07,5.683,3.073
5,12.592,4.704,13.036
6,14.067,4.945,6.909
7,15.507,5.971,11.09
8,16.919,7.2010000000000005,11.168
9,18.307000000000002,7.89,12.77
10,19.675,5.761,10.347999999999999
11,21.026,8.13,16.686
12,22.362,9.16,15.017999999999999
13,23.685,10.644,14.007
14,24.996,14.126,11.905999999999999
15,26.296,13.459000000000001,15.77
16,27.587,16.715999999999998,16.145
17,28.869,17.522000000000002,29.719
18,30.144000000000002,14.41,18.575
