i,j,vx,vy
82,-1,-0.0176239,0.00681649
124,159,0.00609835,-0.0219905
171,148,-0.0759235,-0.119924
184,69,-0.0413992,-0.0110682
137,100,0.0485105,-0.0687221
129,136,-0.053207,0.00309533
189,29,0.0106966,-0.00640395
189,68,-0.0509627,0.058769
5,126,-0.0183319,0.105602
-1,200,-0.0407114,-0.0889265
21,61,0.0546089,0.0108658
138,-1,-0.0174239,0.00840903
82,143,-0.040512,0.017043
27,25,0.0408316,-0.0126675
160,183,0.0313294,-0.0648933
127,168,-0.0287853,-0.0359091
8,141,-0.0532986,0.113213
54,174,0.000412914,0.073846
7,65,0.0202986,-0.0222092
48,73,-0.12233,0.0179389
41,185,0.0317108,0.0330907
149,52,-0.0461323,0.102532
177,-1,0.000108648,-0.013531
40,107,-0.0428177,0.067245
38,35,-0.0582748,0.0271877
49,106,0.0663985,-0.000493865
39,22,0.0730087,0.072691
7,35,-0.0870436,0.0110413
151,125,0.0560875,0.0745811
1,148,-0.0234667,-0.0930451
49,160,-0.0417433,0.0454918
193,125,0.113305,0.0788205
169,121,0.00847573,-0.0777851
124,35,0.0208534,0.0368592
189,180,-0.0263678,0.0448904
169,193,0.00037257,-0.0567995
167,189,-0.0830296,0.0179398
121,148,-0.00867662,-0.0146216
102,162,-0.00893302,-0.00368523
167,149,0.0820503,-0.0861371
165,147,-0.0166556,0.0354874
3,176,0.078735,0.0446051
-1,69,-0.0214008,-0.0095638
22,154,0.0188697,0.0152746
145,-1,-0.0102286,-0.00812829
122,165,0.0222649,0.0353283
77,16,-0.0499768,-0.068615
215,31,-0.0209464,-0.0266753
97,178,0.000239222,-0.00988617
94,5,-0.040892,0.0277063
152,164,-0.0157496,-0.150654
36,129,-0.029272,0.00438717
204,117,-0.122802,-0.0707086
42,20,-0.0635315,-0.0422563
153,23,0.0383593,0.0558894
24,148,0.00183301,0.165039
50,0,-0.12622,-0.0149443
21,66,-0.0289282,-0.0451434
108,42,0.046814,0.0472001
130,174,0.0238418,-0.00533839
138,131,0.0194962,0.030487
223,153,-0.0232968,0.0199654
160,179,0.0238447,-0.027135
74,40,0.0111536,0.057603
115,165,0.027956,-0.0423277
27,52,-0.010861,-0.0637018
35,197,-0.0264497,0.0115582
146,209,0.0371311,0.0126027
159,106,0.0715611,0.0865917
36,69,-0.0151928,-0.0335387
139,213,0.012155,-0.0568267
108,217,-0.0895686,0.0292489
133,214,0.0112225,-0.00884238
-1,152,-0.00388848,-0.016453
17,176,-0.0726668,-0.117143
-1,17,0.0412674,-0.115882
118,76,-0.0639497,0.0175157
214,-1,-0.0146129,0.000620364
20,99,-0.0135121,-0.0246377
201,74,0.0676517,0.0793102
39,224,0,0
39,47,-0.125695,0.0176503
133,16,0.0203515,-0.154228
25,40,-0.00747732,-0.0112599
70,90,-0.0218138,-0.0967463
199,159,-0.0519673,0.003912
69,73,0.0146063,0.0265956
147,167,0.0470019,-0.0575048
4,135,-0.0331139,-0.0230186
196,149,-0.00442907,0.0509935
97,124,0.0152585,0.00457302
47,190,-0.0420175,-0.115222
29,197,0.00743975,-0.0780892
188,160,-0.0265334,0.00147741
162,149,0.126217,0.0387007
171,103,0.17803,0.0632158
175,89,-0.0478728,0.0520127
202,119,-0.0605667,-0.0921876
156,98,0.106644,0.0144565
96,53,-0.0606372,0.0389973
61,193,-0.0163112,-0.0674206
121,84,-0.104493,0.0134713
90,82,-0.0204336,-0.0532415
45,57,-0.0142394,0.0607525
103,216,0.0450899,-0.0720891
108,143,-0.112007,-0.00154368
154,107,-0.048994,0.0531052
80,56,-0.00868098,0.0642592
5,224,0,0
203,14,-0.067232,0.0305317
48,-1,-0.00476261,-0.00821207
11,54,-0.0276687,0.0445787
206,70,0.025771,0.101106
0,77,-0.0207148,-0.090578
197,1,-0.125246,0.0242364
193,31,-0.0110621,-0.0214928
114,50,0.0580544,-0.0573012
124,112,-0.059538,0.134328
67,195,0.00535762,-0.0601748
69,0,0.0669678,0.0624237
187,29,0.0235121,0.0166543
124,54,-0.0202512,0.0913386
72,82,-0.104631,-0.0403172
126,58,-0.0183619,-0.00794281
213,117,-0.0864097,0.00725749
90,185,-0.0617538,-0.0076931
121,219,0.0093832,-0.032603
94,63,0.0834537,0.0616465
205,157,-0.081994,-0.0505894
139,146,0.109117,-0.0210604
212,69,0.07383,-0.0449036
191,164,-0.0125345,-0.0760974
25,81,0.0347454,0.00701636
103,11,0.0720523,-0.0188685
85,185,-0.00767908,-0.00807206
24,31,0.0555332,0.0995855
95,87,-0.0257174,-0.1216
41,0,-0.117023,-0.0352564
30,112,0.0622198,0.0494068
154,144,-0.0135635,0.010142
7,37,0.00496291,0.0317699
223,54,0.0065808,0.0390609
159,169,0.0370502,0.052278
143,-1,-0.0327184,-0.0129127
68,112,-0.00331099,-0.0451019
100,43,0.0358519,0.001603
85,129,-0.1187,-0.0440473
175,-1,0.00389574,-0.0175513
160,87,-0.0553406,0.0245722
172,2,0.0253741,-0.137888
185,43,0.0695925,0.00524926
9,156,-0.15496,0.103236
3,143,0.00615007,0.0189775
117,45,0.0668347,-0.107145
102,38,-0.00638775,-0.00617419
34,117,0.0698892,-0.000928165
162,77,-0.0674102,-0.0906406
5,55,0.0816638,-0.0798283
111,47,0.00515227,-0.0863229
223,78,0.0423133,0.0406059
36,160,0.129994,0.0691318
182,180,-0.051516,0.0511902
2,36,0.0777047,-0.0290506
124,70,0.101251,0.0437922
153,207,-0.0206587,-0.057296
51,19,0.00933413,-0.0790013
160,160,0.0133361,0.00670523
35,135,-0.0868813,0.0209788
7,20,0.0287076,0.12031
202,213,-0.0198243,0.00314742
19,74,0.0424673,2.7944e-05
7,66,-0.0505951,0.0105809
138,149,-0.0213313,-0.0472325
91,43,0.0472633,0.0533956
168,39,-0.0447586,-0.0100543
156,16,-0.0150561,-0.0761672
222,-1,-0.000979424,0.00898243
-1,184,0.00937375,-0.0284055
4,163,0.0173159,0.0128305
54,49,-0.0411301,0.0290653
-1,143,-0.0185488,-0.0380823
221,96,-0.0579942,0.00215972
